L;16;Thüringen
G;16;0;75;079;Paska
G;16;0;75;081;Peuschen
G;16;0;75;083;Plothen
G;16;0;75;084;Pörmitz
G;16;0;75;085;Pößneck
G;16;0;75;087;Quaschwitz
G;16;0;75;088;Ranis
G;16;0;75;093;Rosendorf
G;16;0;75;098;Schleiz
G;16;0;75;099;Schmieritz
G;16;0;75;101;Schmorda
G;16;0;75;102;Schöndorf
G;16;0;75;103;Seisla
G;16;0;75;105;Solkwitz
G;16;0;75;109;Tegau
G;16;0;75;114;Tömmelsdorf
G;16;0;75;116;Triptis
G;16;0;75;119;Volkmannsdorf
G;16;0;75;121;Weira
G;16;0;75;124;Wernburg
G;16;0;75;125;Wilhelmsdorf
G;16;0;75;127;Ziegenrück
G;16;0;75;129;Krölpa
G;16;0;75;131;Gefell
G;16;0;75;132;Tanna
G;16;0;75;133;Wurzbach
G;16;0;75;134;Remptendorf
G;16;0;75;135;Saalburg-Ebersdorf
G;16;0;75;136;Rosenthal am Rennsteig
G;16;0;76;003;Bad Köstritz
G;16;0;76;004;Berga/Elster
G;16;0;76;006;Bethenhausen
G;16;0;76;007;Bocka
G;16;0;76;008;Brahmenau
G;16;0;76;009;Braunichswalde
G;16;0;76;012;Caaschwitz
G;16;0;76;014;Crimla
G;16;0;76;017;Endschütz
G;16;0;76;019;Gauern
G;16;0;76;022;Greiz
G;16;0;76;023;Großenstein
G;16;0;76;026;Hartmannsdorf
G;16;0;76;027;Hilbersdorf
G;16;0;76;028;Hirschfeld
G;16;0;76;029;Hohenleuben
G;16;0;76;033;Hundhaupten
G;16;0;76;034;Kauern
G;16;0;76;036;Korbußen
G;16;0;76;038;Kühdorf
G;16;0;76;039;Langenwetzendorf
G;16;0;76;041;Langenwolschendorf
G;16;0;76;042;Lederhose
G;16;0;76;043;Linda b. Weida
G;16;0;76;044;Lindenkreuz
G;16;0;76;049;Münchenbernsdorf
G;16;0;76;055;Paitzdorf
G;16;0;76;058;Pölzig
G;16;0;76;059;Reichstädt
G;16;0;76;061;Ronneburg
G;16;0;76;062;Rückersdorf
G;16;0;76;064;Saara
G;16;0;76;067;Schwaara
G;16;0;76;068;Schwarzbach
G;16;0;76;069;Seelingstädt
G;16;0;76;074;Teichwitz
G;16;0;76;079;Weida
G;16;0;76;081;Weißendorf
G;16;0;76;084;Wünschendorf/Elster
G;16;0;76;086;Zedlitz
G;16;0;76;087;Zeulenroda-Triebes
G;16;0;76;088;Harth-Pöllnitz
G;16;0;76;089;Kraftsdorf
G;16;0;76;092;Auma-Weidatal
G;16;0;76;093;Mohlsdorf-Teichwolframsdorf
G;16;0;77;001;Altenburg
G;16;0;77;003;Dobitschen
G;16;0;77;005;Fockendorf
G;16;0;77;007;Gerstenberg
G;16;0;77;008;Göhren
G;16;0;77;009;Göllnitz
G;16;0;77;011;Göpfersdorf
G;16;0;77;012;Gößnitz
G;16;0;77;015;Haselbach
G;16;0;77;016;Heukewalde
G;16;0;77;017;Heyersdorf
G;16;0;77;018;Jonaswalde
G;16;0;77;022;Kriebitzsch
G;16;0;77;023;Langenleuba-Niederhain
G;16;0;77;026;Löbichau
G;16;0;77;027;Lödla
G;16;0;77;028;Lucka
G;16;0;77;031;Mehna
G;16;0;77;032;Meuselwitz
G;16;0;77;034;Monstab
G;16;0;77;036;Nobitz
G;16;0;77;039;Ponitz
G;16;0;77;041;Posterstein
G;16;0;77;042;Rositz
G;16;0;77;043;Schmölln
G;16;0;77;044;Starkenberg
G;16;0;77;047;Thonhausen
G;16;0;77;048;Treben
G;16;0;77;049;Vollmershain
G;16;0;77;052;Windischleuba
